KodeName;Klasse
NA H2-6;Type
NA H2-7;Type
NA H2-8;Type
NA H3;Type
NA H4;Type
NA H4-1;Type
NA H4-2;Type
NA H4-3;Type
NA H4-4;Type
NA I;Type
NA I1;Type
NA I1-B-1;Type
NA I1-C-1;Type
NA I1-D-1;Type
NA I1-E-1;Type
NA L;Type
NA L1;Type
NA L1-1;Type
NA L1-10;Type
NA L1-11;Type
NA L1-12;Type
NA L1-13;Type
NA L1-14;Type
NA L1-3;Type
NA L1-4;Type
NA L1-5;Type
NA L1-6;Type
NA L1-7;Type
NA L1-8;Type
NA L1-9;Type
NA L1-C-1;Type
NA L1-C-10;Type
NA L1-C-11;Type
NA L1-C-12;Type
NA L1-C-13;Type
NA L1-C-2;Type
NA L1-C-3;Type
NA L1-C-4;Type
NA L1-C-5;Type
NA L1-C-6;Type
NA L1-C-7;Type
NA L1-C-8;Type
NA L1-C-9;Type
NA L1-E-1;Type
NA L1-E-2;Type
NA L1-E-3;Type
NA L1-E-4;Type
NA L1-E-5;Type
NA L10;Type
NA L10-1;Type
NA L10-C-1;Type
NA L10-E-1;Type
NA L11;Type
NA L11-1;Type
NA L11-2;Type
NA L11-C-1;Type
NA L11-E-1;Type
NA L11-E-2;Type
NA L12;Type
NA L12-1;Type
NA L12-C-1;Type
NA L12-E-1;Type
NA L13;Type
NA L13-1;Type
NA L13-2;Type
NA L13-C-1;Type
NA L13-C-2;Type
NA L13-E-1;Type
NA L13-E-2;Type
NA L14;Type
NA L14-1;Type
NA L14-2;Type
NA L14-3;Type
NA L14-4;Type
NA L14-5;Type
NA L14-C-1;Type
NA L14-C-2;Type
NA L14-C-3;Type
NA L14-C-4;Type
NA L14-C-5;Type
NA L14-E-1;Type
NA L14-E-2;Type
NA L14-E-3;Type
NA L15;Type
NA L15-1;Type
NA L15-2;Type
NA L15-3;Type
NA L15-4;Type
NA L15-C-1;Type
NA L15-C-2;Type
NA L15-E-1;Type
NA L15-E-2;Type
NA L16;Type
NA L16-1;Type
NA L16-2;Type
NA L16-3;Type
NA L16-4;Type
NA L16-5;Type
NA L16-C-1;Type
NA L16-C-2;Type
NA L16-C-3;Type
NA L16-E-1;Type
NA L16-E-2;Type
NA L16-E-3;Type
NA L17;Type
NA L17-1;Type
NA L17-2;Type
NA L17-3;Type
NA L17-4;Type
NA L17-5;Type
NA L17-6;Type
NA L17-7;Type
NA L17-C-1;Type
NA L17-C-2;Type
NA L17-C-3;Type
NA L17-C-4;Type
NA L17-E-1;Type
NA L17-E-2;Type
NA L17-E-3;Type
NA L17-E-4;Type
