NiN 2 kode;FP;SP;TKode;HTGKode;HTKode;GTKode
T13-10,11,16,17;4;3;C-PE-NA;NA-T;T-D-01;T-D-01-07
T13-12,13,15,17;3;2;C-PE-NA;NA-T;T-D-01;T-D-01-08
T13-14,15;2;3;C-PE-NA;NA-T;T-D-01;T-D-01-09
T13-1,2,16,17;4;3;C-PE-NA;NA-T;T-D-01;T-D-01-10
T13-4,5,16,17;3;2;C-PE-NA;NA-T;T-D-01;T-D-01-11
T13-7,8;2;3;C-PE-NA;NA-T;T-D-01;T-D-01-12
ny;-;;C-PE-NA;NA-T;T-D-02;T-D-02-0
ny;-;;C-PE-NA;NA-T;T-D-02;T-D-02-01
ny;-;;C-PE-NA;NA-T;T-D-02;T-D-02-02
T16;4;4;C-PE-NA;NA-T;T-D-03;T-D-03-0
T16-1;4;4;C-PE-NA;NA-T;T-D-03;T-D-03-01
T16-2;4;2;C-PE-NA;NA-T;T-D-03;T-D-03-02
T16-3,4;2;4;C-PE-NA;NA-T;T-D-03;T-D-03-03
T16-5;4;2;C-PE-NA;NA-T;T-D-03;T-D-03-04
T16-6;2;4;C-PE-NA;NA-T;T-D-03;T-D-03-05
T16-7;4;4;C-PE-NA;NA-T;T-D-03;T-D-03-06
T15;4;4;C-PE-NA;NA-T;T-D-04;T-D-04-0
T15-1;2;2;C-PE-NA;NA-T;T-D-04;T-D-04-01
T15-2;2;2;C-PE-NA;NA-T;T-D-04;T-D-04-02
T15-1;2;1;C-PE-NA;NA-T;T-D-04;T-D-04-03
T15-2;2;1;C-PE-NA;NA-T;T-D-04;T-D-04-04
T15-1,2;4;0;C-PE-NA;NA-T;T-D-04;T-D-04-05
T32;4;0;C-PE-NA;NA-T;T-D-05;T-D-05-0
ny;-;;C-PE-NA;NA-T;T-D-05;T-D-05-01
ny;-;;C-PE-NA;NA-T;T-D-05;T-D-05-02
T14, T10-2;4;4;C-PE-NA;NA-T;T-D-06;T-D-06-0
T14-1;2;4;C-PE-NA;NA-T;T-D-06;T-D-06-01
T14-1;2;1;C-PE-NA;NA-T;T-D-06;T-D-06-02
T14-2;4;2;C-PE-NA;NA-T;T-D-06;T-D-06-03
T10-2;4;4;C-PE-NA;NA-T;T-D-06;T-D-06-04
T14-3;4;4;C-PE-NA;NA-T;T-D-06;T-D-06-05
T21;3;4;C-PE-NA;NA-T;T-E-01;T-E-01-0
T21-2;3;4;C-PE-NA;NA-T;T-E-01;T-E-01-01
T21-3;3;4;C-PE-NA;NA-T;T-E-01;T-E-01-02
T21-4;3;4;C-PE-NA;NA-T;T-E-01;T-E-01-03
T21-5;3;4;C-PE-NA;NA-T;T-E-01;T-E-01-04
T21-6;4;4;C-PE-NA;NA-T;T-E-01;T-E-01-05
T21-2,3;0;4;C-PE-NA;NA-T;T-E-01;T-E-01-06
T21-4,5;0;4;C-PE-NA;NA-T;T-E-01;T-E-01-07
T21-7;4;4;C-PE-NA;NA-T;T-E-01;T-E-01-08
T21-8;4;4;C-PE-NA;NA-T;T-E-01;T-E-01-09
T17;2;4;C-PE-NA;NA-T;T-E-02;T-E-02-0
T17-2;4;4;C-PE-NA;NA-T;T-E-02;T-E-02-01
T17-3;4;4;C-PE-NA;NA-T;T-E-02;T-E-02-02
T17-4;4;4;C-PE-NA;NA-T;T-E-02;T-E-02-03
T18;2;4;C-PE-NA;NA-T;T-E-03;T-E-03-0
T18-3,4;1;4;C-PE-NA;NA-T;T-E-03;T-E-03-01
T18-3,4;2;4;C-PE-NA;NA-T;T-E-03;T-E-03-02
T18-2,4;2;4;C-PE-NA;NA-T;T-E-03;T-E-03-03
T18-1,4;3;2;C-PE-NA;NA-T;T-E-03;T-E-03-04
T18-4,5;3;2;C-PE-NA;NA-T;T-E-03;T-E-03-05
T18-1,4;4;2;C-PE-NA;NA-T;T-E-03;T-E-03-06
T18-6;4;4;C-PE-NA;NA-T;T-E-04;T-E-04-0
T18-6;1;4;C-PE-NA;NA-T;T-E-04;T-E-04-01
T18-6;2;4;C-PE-NA;NA-T;T-E-04;T-E-04-02
T19;4;4;C-PE-NA;NA-T;T-E-05;T-E-05-0
T19-1;2;3;C-PE-NA;NA-T;T-E-05;T-E-05-01
T19-2;2;2;C-PE-NA;NA-T;T-E-05;T-E-05-02
T19-1;2;4;C-PE-NA;NA-T;T-E-05;T-E-05-03
T19-1;1;3;C-PE-NA;NA-T;T-E-05;T-E-05-04
T19-2;2;2;C-PE-NA;NA-T;T-E-05;T-E-05-05
T19-3;2;4;C-PE-NA;NA-T;T-E-05;T-E-05-06
T19-3;1;4;C-PE-NA;NA-T;T-E-05;T-E-05-07
T19-3;1;4;C-PE-NA;NA-T;T-E-05;T-E-05-08
T19-1,2;1;4;C-PE-NA;NA-T;T-E-05;T-E-05-09
